,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
18709,b-3_6900-7016_6914.wav,VTTS_b-3_6900-7016_6914.wav,5410,5526,-116
18710,b-3_294-391_331.wav,VTTS_b-3_294-391_331.wav,6990,8835,-1845
18711,b-1_4142-4177_4148.wav,VTTS_b-1_4142-4177_4148.wav,2390,2426,-36
18712,b-1_2321-2421_2409.wav,VTTS_b-1_2321-2421_2409.wav,1200,1207,-7
18713,b-4_53-150_72.wav,VTTS_b-4_53-150_72.wav,10580,9160,1420
18714,b-3_3715-3802_3789.wav,VTTS_b-3_3715-3802_3789.wav,3130,3065,65
18715,b-3_5009-5427_5425.wav,VTTS_b-3_5009-5427_5425.wav,3140,3262,-122
18716,b-1_1313-1413_1317.wav,VTTS_b-1_1313-1413_1317.wav,4460,4145,315
18717,b-1_794-1009_805.wav,VTTS_b-1_794-1009_805.wav,2550,2287,263
18718,b-3_1321-1568_1487.wav,VTTS_b-3_1321-1568_1487.wav,1050,1022,28
18719,b-4_1901-2000_1985.wav,VTTS_b-4_1901-2000_1985.wav,1870,1800,70
18720,b-2_2040-2072_2046.wav,VTTS_b-2_2040-2072_2046.wav,3030,3785,-755
18721,b-3_6900-7016_6977.wav,VTTS_b-3_6900-7016_6977.wav,3990,3785,205
18722,b-4_2000-5164_4408.wav,VTTS_b-4_2000-5164_4408.wav,8649,7941,708
18723,b-1_2220-2320_2243.wav,VTTS_b-1_2220-2320_2243.wav,3620,2798,822
18724,b-1_1515-1615_1574.wav,VTTS_b-1_1515-1615_1574.wav,3730,3379,351
18725,b-1_377-477_408.wav,VTTS_b-1_377-477_408.wav,1600,1428,172
18726,b-3_5533-5638_5547.wav,VTTS_b-3_5533-5638_5547.wav,5600,5770,-170
18727,b-4_2000-5164_4347.wav,VTTS_b-4_2000-5164_4347.wav,6775,6885,-110
18728,b-4_2000-5164_2951.wav,VTTS_b-4_2000-5164_2951.wav,7285,8162,-877
18729,b-4_1506-1600_1534.wav,VTTS_b-4_1506-1600_1534.wav,4410,4087,323
18730,b-3_4607-5008_4862.wav,VTTS_b-3_4607-5008_4862.wav,3160,3088,72
18731,b-4_501-1014_762.wav,VTTS_b-4_501-1014_762.wav,2870,2937,-67
18732,b-1_4214-4285_4282.wav,VTTS_b-1_4214-4285_4282.wav,4110,6502,-2392
18733,b-1_3733-3833_3833.wav,VTTS_b-1_3733-3833_3833.wav,2290,2218,72
18734,b-1_377-477_416.wav,VTTS_b-1_377-477_416.wav,1820,1753,67
18735,b-1_4466-4498_4471.wav,VTTS_b-1_4466-4498_4471.wav,4240,4365,-125
18736,b-2_1903-2038_1962.wav,VTTS_b-2_1903-2038_1962.wav,2340,1393,947
18737,b-1_1919-2017_1978.wav,VTTS_b-1_1919-2017_1978.wav,1300,1312,-12
18738,b-4_1401-1505_1415.wav,VTTS_b-4_1401-1505_1415.wav,940,1068,-128
18739,b-4_501-1014_760.wav,VTTS_b-4_501-1014_760.wav,11390,9752,1638
18740,b-4_2000-5164_2073.wav,VTTS_b-4_2000-5164_2073.wav,5085,6026,-941
18741,b-3_6116-6215_6131.wav,VTTS_b-3_6116-6215_6131.wav,2670,2403,267
18742,b-3_2434-2523_2444.wav,VTTS_b-3_2434-2523_2444.wav,5840,6293,-453
18743,b-4_1-52_3.wav,VTTS_b-4_1-52_3.wav,3890,4865,-975
